,PB-MGC-Short,PB-MNQ-Long,PB-MES-Short
2026-01-21,0.0,255.5,0.0
2026-01-22,0.0,-173.0,0.0
2026-01-23,0.0,0.0,3.75
2026-01-26,0.0,150.5,0.0
2026-01-27,0.0,31.5,0.0
2026-01-28,0.0,0.0,-101.25
2026-01-30,0.0,0.0,-103.75
2026-02-03,0.0,0.0,-65.0
2026-02-04,0.0,0.0,35.0
2026-02-05,0.0,0.0,150.0
2026-02-06,0.0,371.5,0.0
2026-02-09,0.0,252.5,0.0
2026-02-10,0.0,-136.0,0.0
2026-02-11,0.0,-161.5,0.0
2026-02-12,0.0,0.0,122.5
2026-02-13,0.0,0.0,-128.75
2026-02-17,0.0,0.0,-161.25
2026-02-19,0.0,-188.5,10.0
2026-02-23,0.0,86.0,125.0
2026-02-24,0.0,164.0,0.0
2026-02-25,0.0,140.0,0.0
2026-02-27,0.0,0.0,-65.0
2026-03-03,0.0,-56.5,-167.5
2026-03-04,290.0,118.0,0.0
2026-03-05,270.0,0.0,-118.75
2026-03-06,0.0,0.0,-121.25
