,PB-MGC-Short,PB-MNQ-Long,PB-MES-Short,ORB009-MES-Both,ORB009-MES-Long,ORB009-MES-Short,ORB009-MGC-Both,ORB009-MGC-Long,ORB009-MGC-Short,ORB009-MNQ-Both,ORB009-MNQ-Long,ORB009-MNQ-Short,VWAP006-MES-Both,VWAP006-MES-Long,VWAP006-MES-Short,VWAP006-MGC-Both,VWAP006-MGC-Long,VWAP006-MGC-Short,VWAP006-MNQ-Both,VWAP006-MNQ-Long,VWAP006-MNQ-Short,ICT010-MES-Both,ICT010-MES-Long,ICT010-MES-Short,ICT010-MGC-Both,ICT010-MGC-Long,ICT010-MGC-Short,ICT010-MNQ-Both,ICT010-MNQ-Long,ICT010-MNQ-Short
VWAP006-MNQ-Short,-0.044972278319535826,-0.05854234657014108,0.2555018096143811,0.2601295888705888,-0.0016152922741482392,0.32999200749289653,-0.01944757178310919,-0.005808975977831083,-0.019419573702107656,0.21015200365825687,-0.007069270772594422,0.28066672322890923,0.608793891685399,-0.02262380059105987,0.7746709909354969,0.032576296013746064,0.012491558468269095,0.14922551748279891,0.7558476729872718,0.0014800307783058813,1.0,0.004160333172440811,-0.03570760604730529,0.041850636195838876,-0.02156723213258317,-0.03224547290035288,0.0012594635531098608,-0.04031743239359355,-0.11317249809668885,0.060513950975640975
ICT010-MES-Both,0.0695294359965694,-0.031894133511261476,0.0010623657466075735,0.007342250247913253,-0.006436220821526498,0.014080496821590831,-0.04648197620678365,-0.03523818464182553,-0.03286081030196315,0.0225834563009892,0.07763744194854837,-0.03518852990544123,0.0312797543202467,0.05911134069334138,-0.0022621673863848935,0.03736230907360753,-0.0004505004379574304,0.026866823716456312,0.046970689337694424,0.03674772630845154,0.004160333172440811,1.0,0.7070379601186111,0.70184657670996,0.010241936019096735,-0.04282456256641258,0.055850370553968166,0.30581141762433495,0.2503904990384885,0.1802258839633246
ICT010-MES-Long,0.033463554831994174,0.052524715634867325,-0.038270620089976205,-0.023006843313160413,0.029083747268064536,-0.05077086622259601,-0.009022925419776808,-0.04311071689489761,0.016643403050123805,-0.019485492083777603,0.06485801035916892,-0.07954114531890004,-0.03000919271658809,0.04738615850914522,-0.06862652012323264,-0.011219453831973605,0.004262974167936207,-0.0142700242334147,0.025929128795233337,0.033047265583988704,-0.03570760604730529,0.7070379601186111,1.0,-0.007508906572082398,0.019970644340405783,-0.012252441951535407,0.03972124070802586,0.24956921143377025,0.37983539721918613,-0.03741840987191283
ICT010-MES-Short,0.06460975779508096,-0.09800687114953818,0.04005168687874463,0.03355668007668496,-0.038396702618690985,0.07105111801347208,-0.05663852418317963,-0.00640323893319683,-0.06323103985014406,0.05156128723319461,0.0444515723112086,0.030362838564071758,0.07445854369693886,0.03585415007998516,0.06592775301575349,0.06413285291628208,-0.004931058467388968,0.05236465507367955,0.040300198640417555,0.018674559867322926,0.041850636195838876,0.70184657670996,-0.007508906572082398,1.0,-0.005633685238616086,-0.04821376224322702,0.03896378574762916,0.18104078263811915,-0.02854171319939126,0.2925369465462476
ICT010-MGC-Both,0.0007171265615980618,-0.04776670781700715,0.1211508569563381,0.04384155766535358,0.08038127898548736,-0.004538234530059476,0.011457909388238555,-0.007564017643656177,0.018414964665686106,0.018121971442123033,0.036197948719907044,-0.006479111130558145,-0.006583256794475268,0.009312610911102491,-0.017548224121710948,-0.0499789464457901,-0.0568073625095857,0.03624357317841398,-0.013829045920289168,0.04853557117038907,-0.02156723213258317,0.010241936019096735,0.019970644340405783,-0.005633685238616086,1.0,0.6963221156878603,0.7171891180525204,0.02076850685201928,0.0364257313145454,-0.008177808637742624
ICT010-MGC-Long,-0.01360043597193008,-0.03990998705129366,0.12998068292816106,0.07858732181759193,0.12374467763951874,0.0070362594144353354,0.0045789343415290175,0.00928935743783135,-0.0004558265214067525,0.08642790415326097,0.11325435267198854,0.01859888408949797,-0.005918473905071985,0.018116887329833672,-0.020743661177856223,0.008852674870466768,0.08054825523140353,0.05451143345249678,0.0018551580484082114,0.03357212013851268,-0.03224547290035288,-0.04282456256641258,-0.012252441951535407,-0.04821376224322702,0.6963221156878603,1.0,-0.0007756176178503643,0.02998911540899063,0.034378834649452523,0.007345096331850096
ICT010-MGC-Short,0.014204488200114858,-0.027801950949766566,0.042592744440525715,-0.015220607265127925,-0.008155945029146013,-0.013154890302518195,0.011518191226240981,-0.0195583034682478,0.026099828868737986,-0.05866805675767086,-0.05953022815697056,-0.027085797138489555,-0.0034257994986939496,-0.0046154758623598606,-0.004308595182662771,-0.07823027721219793,-0.15735693395596603,-0.0024302871855856013,-0.021069028798200152,0.03502693961569022,0.0012594635531098608,0.055850370553968166,0.03972124070802586,0.03896378574762916,0.7171891180525204,-0.0007756176178503643,1.0,-0.00018150552089224098,0.017371235330406156,-0.018525709409502725
ICT010-MNQ-Both,-0.012804711130343161,-0.07085280298747278,0.0013136004314125793,-0.07673158938429875,-0.030409100744640545,-0.07430367799027508,0.045775624958480046,-0.05512708467934619,0.08937990740907392,-0.06825538059528528,0.0012370439319761696,-0.09027515039749492,0.00827943134729456,0.06997619296968971,-0.042102864700782255,-0.04842228993301024,-0.02864867617805061,0.019185495408211333,-0.06522841386852572,-0.04063633879895988,-0.04031743239359355,0.30581141762433495,0.24956921143377025,0.18104078263811915,0.02076850685201928,0.02998911540899063,-0.00018150552089224098,1.0,0.7241926528817312,0.6887709362755924
ICT010-MNQ-Long,-0.0489882934531749,0.033110231309077004,-0.010547021036651286,-0.07468279512399764,0.014911611671082724,-0.10551590893508526,0.03281912157563962,-0.08260488942464242,0.09142678697131323,-0.07530073656715079,0.02283804966869887,-0.1174929618165391,-0.024740592679810464,0.08286383090854964,-0.09161371872869684,-0.04353178438296035,-0.014589749365558551,-0.02735363364960306,-0.08854479601815812,-0.00036041639732446647,-0.11317249809668885,0.2503904990384885,0.37983539721918613,-0.02854171319939126,0.0364257313145454,0.034378834649452523,0.017371235330406156,0.7241926528817312,1.0,-0.0011410288691237136
ICT010-MNQ-Short,0.032933379074246746,-0.1375540825561429,0.012993037176358227,-0.03275544359783487,-0.05977352615420961,0.0031803933001282765,0.03187716525374995,0.006902232911598619,0.033493941966740486,-0.019814278433723537,-0.022215943879536033,-0.007388594527299374,0.03801613103056754,0.014358527190775586,0.03525996028012559,-0.024452847291675933,-0.0262057064453917,0.05657834011447295,-0.0015012388456481956,-0.058548654432323315,0.060513950975640975,0.1802258839633246,-0.03741840987191283,0.2925369465462476,-0.008177808637742624,0.007345096331850096,-0.018525709409502725,0.6887709362755924,-0.0011410288691237136,1.0
